"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Яндекс — поисковая система и интернет-портал","yandex.ru","","Портал","да","679110","1456612","04:54:18","0.7223796033994334","451580"
"Яндекс.Метро — схемы метрополитена","metro.yandex.ru","Справочные ресурсы, Транспорт, перевозки, Транспорт, перевозки->Городской и пригородный транспорт, Справочные ресурсы->Карты и схемы","Сервисы","да","246908","304050","00:42:37","0.9998274672187716","89584"
"Яндекс.Видео — поиск и просмотр видеороликов","yandex.ru/video","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","240675","405300","00:29:36","0.0","69865"
"Яндекс.Карты — выбирайте, где поесть, куда сходить, чем...","yandex.ru/maps","Справочные ресурсы, Транспорт, перевозки->Расписания транспорта, Справочные ресурсы->Расписания транспорта, Транспорт, перевозки, Справочные ресурсы->Карты и схемы, Путешествия","Сервисы","да","192488","295100","00:42:21","0.5232212308396248","56416"
"Wi-fi.ru — информационно-развлекательный портал","wi-fi.ru","Новости и СМИ","Новости","да","182268","292250","01:09:56","0.0","78846"
"«Avito.ru» — бесплатные объявления","avito.ru","Торговля","Агрегаторы","да","143353","211800","00:25:31","0.5111382361916387","37552"
"КиноПоиск.ru — портал о кино","kinopoisk.ru","Культура и искусство, Развлечения и отдых->Фильмы онлайн, Культура и искусство->Кино, Развлечения и отдых","Контентные проекты","да","134276","199850","00:10:43","0.13303072625698323","25934"
"Дзен — сервис персональных рекомендаций","zen.yandex.ru","","Сообщества","да","124027","198600","01:09:37","0.3987947536334633","40303"
"FB.ru","fb.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","109274","152900","00:02:55","0.0","17287"
"Яндекс.Маркет — выбор товаров и места их покупки","market.yandex.ru","Торговля","Агрегаторы","да","104639","147600","00:07:04","0.0","17213"
"Яндекс.Почта — бесплатная электронная почта","mail.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","98737","182000","02:06:32","0.0","37830"
"Яндекс.Переводчик — онлайн-переводчик","translate.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","87114","121250","00:39:02","0.47150781643973777","23974"
"Яндекс.Новости","news.yandex.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Агрегаторы","да","86402","136050","00:15:54","0.0","23897"
"Рамблер — медийный портал","rambler.ru","","Портал","да","84238","116850","00:10:21","0.0","15327"
"«Живой Журнал» — сервис онлайн-дневников","livejournal.com","Развлечения и отдых","Сообщества","да","83681","115750","00:05:34","0.0","13685"
"Яндекс.Расписания","rasp.yandex.ru","Путешествия->Авиа и ж/д билеты, Путешествия","Сервисы","да","82845","111250","01:05:02","0.6298429319371728","29025"
"Яндекс.Диск — хранение и обмен файлами","disk.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","77862","122500","00:26:49","0.2160633484162896","15821"
"«IRecommend.ru» — интернет-сервис обмена опытом","irecommend.ru","Справочные ресурсы","Сообщества","да","75573","105450","00:10:55","0.0","13200"
"«Пикабу.ру» — развлекательное сообщество","pikabu.ru","Развлечения и отдых","Сообщества","да","74691","104700","00:10:17","0.0","13110"
"Яндекс.Музыка — поиск и прослушивание музыки","music.yandex.ru","Культура и искусство->Музыка, Культура и искусство, Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Сервисы","да","72955","108800","03:03:23","0.3503605769230769","24993"
"«Комсомольская правда» — газета // WWW.KP.RU","kp.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","72452","97050","00:01:53","0.0","10034"
"«Woman.ru» — всероссийский женский портал","woman.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","71128","96400","00:04:38","0.0","11356"
"Яндекс.Погода — прогноз погоды","yandex.ru/pogoda","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","68316","101550","00:02:40","0.0","19029"
"«РИА Новости» — информационное агентство","ria.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","60498","83250","00:03:17","0.0","10621"
