"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Яндекс — поисковая система и интернет-портал","yandex.ru","","Портал","да","660013","1418906","05:31:14","0.686840107653026","435569"
"Яндекс.Видео — поиск и просмотр видеороликов","yandex.ru/video","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","244794","412300","00:31:41","0.0","74428"
"Яндекс.Карты — выбирайте, где поесть, куда сходить, чем...","yandex.ru/maps","Справочные ресурсы, Транспорт, перевозки->Расписания транспорта, Справочные ресурсы->Расписания транспорта, Транспорт, перевозки, Справочные ресурсы->Карты и схемы, Путешествия","Сервисы","да","202536","315300","00:59:05","0.5462982948413555","61224"
"Яндекс.Метро — схемы метрополитена","metro.yandex.ru","Справочные ресурсы, Транспорт, перевозки, Транспорт, перевозки->Городской и пригородный транспорт, Справочные ресурсы->Карты и схемы","Сервисы","да","201044","247350","00:39:34","1.0","63016"
"«Avito.ru» — бесплатные объявления","avito.ru","Торговля","Агрегаторы","да","198420","304150","00:27:27","0.5764942016057092","58126"
"Дзен — сервис персональных рекомендаций","zen.yandex.ru","","Сообщества","да","155047","245900","01:06:10","0.437517551249649","51980"
"Яндекс.Маркет — выбор товаров и места их покупки","market.yandex.ru","Торговля","Агрегаторы","да","141104","210050","00:10:01","0.0","26460"
"Wi-fi.ru — информационно-развлекательный портал","wi-fi.ru","Новости и СМИ","Новости","да","135814","197850","01:03:24","0.0","55658"
"КиноПоиск.ru — портал о кино","kinopoisk.ru","Культура и искусство, Развлечения и отдых->Фильмы онлайн, Культура и искусство->Кино, Развлечения и отдых","Контентные проекты","да","121053","191000","00:10:58","0.1214915797914996","23814"
"«Пикабу.ру» — развлекательное сообщество","pikabu.ru","Развлечения и отдых","Сообщества","да","115868","178400","00:20:40","0.0","25712"
"«Авто.ру» — автомобильный портал","auto.ru","Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Торговля","Агрегаторы","да","111926","172700","00:54:45","0.627677100494234","31890"
"Яндекс.Почта — бесплатная электронная почта","mail.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","102907","181800","01:32:54","0.0","36993"
"Яндекс.Новости","news.yandex.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Агрегаторы","да","102066","168900","00:22:38","0.0","33566"
"Яндекс.Диск — хранение и обмен файлами","disk.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","89570","146550","00:23:53","0.20230345518277415","17971"
"Яндекс.Музыка — поиск и прослушивание музыки","music.yandex.ru","Культура и искусство->Музыка, Культура и искусство, Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Сервисы","да","80622","127450","03:33:48","0.4167121791370836","30402"
"FB.ru","fb.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","74681","104800","00:02:29","0.0","11228"
"Яндекс.Расписания","rasp.yandex.ru","Путешествия->Авиа и ж/д билеты, Путешествия","Сервисы","да","73806","99450","01:05:15","0.6901822457378013","24422"
"Яндекс.Переводчик — онлайн-переводчик","translate.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","70317","99450","00:24:21","0.38640654499685334","17447"
"«РИА Новости» — информационное агентство","ria.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","68399","96700","00:04:27","0.0","13728"
"«Живой Журнал» — сервис онлайн-дневников","livejournal.com","Развлечения и отдых","Сообщества","да","65837","91150","00:05:34","0.0","10989"
"Яндекс.Погода — прогноз погоды","yandex.ru/pogoda","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","65233","94300","00:02:31","0.0","16573"
"Рамблер — медийный портал","rambler.ru","","Портал","да","60718","84650","00:12:50","0.0","11579"
"«Lenta.ru» — интернет-газета","lenta.ru","Новости и СМИ","Новости","да","57825","78650","00:05:45","0.0","11175"
"«Комсомольская правда» — газета // WWW.KP.RU","kp.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","54531","76650","00:02:25","8.006405124099279E-4","7797"
"Drive2.ru — сообщество автовладельцев","drive2.ru","Авто и мото, Авто и мото->Автомобили","Сообщества","да","52702","79300","00:20:35","0.08261617900172118","11755"
"«Sports.ru» — спортивный портал","sports.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","43513","66300","00:44:54","0.2839506172839506","13403"
"Яндекс.Афиша — афиша мероприятий","afisha.yandex.ru","Развлечения и отдых, Развлечения и отдых->Афиша и продажа билетов","Сервисы","да","39182","54450","00:06:28","0.06726457399103139","6157"
"«Вести.ru» — интернет-канал","vesti.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","39159","51500","00:02:14","0.0","6195"
