"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Яндекс — поисковая система и интернет-портал","yandex.ru","","Портал","да","1842834","3933694","16:02:20","0.8219309936324596","999377"
"Яндекс.Метро — схемы метрополитена","metro.yandex.ru","Справочные ресурсы, Транспорт, перевозки, Транспорт, перевозки->Городской и пригородный транспорт, Справочные ресурсы->Карты и схемы","Сервисы","да","1060086","1332650","01:24:16","0.9998798750700729","238848"
"Яндекс.Карты — выбирайте, где поесть, куда сходить, чем...","yandex.ru/maps","Справочные ресурсы, Транспорт, перевозки->Расписания транспорта, Справочные ресурсы->Расписания транспорта, Транспорт, перевозки, Справочные ресурсы->Карты и схемы, Путешествия","Сервисы","да","980848","1897700","02:30:24","0.6141215106732348","232902"
"«Avito.ru» — бесплатные объявления","avito.ru","Торговля","Агрегаторы","да","823563","1388750","01:06:19","0.6716637736047553","152473"
"Дзен — сервис персональных рекомендаций","zen.yandex.ru","","Сообщества","да","674300","1400400","03:23:10","0.5351444864483885","168023"
"Яндекс.Видео — поиск и просмотр видеороликов","yandex.ru/video","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","588711","1289500","01:06:44","0.0","112589"
"Рамблер — медийный портал","rambler.ru","","Портал","да","581837","1120200","00:22:36","0.0","90741"
"Яндекс.Маркет — выбор товаров и места их покупки","market.yandex.ru","Торговля","Агрегаторы","да","493321","934550","00:18:18","0.0","49164"
"КиноПоиск.ru — портал о кино","kinopoisk.ru","Культура и искусство, Развлечения и отдых->Фильмы онлайн, Культура и искусство->Кино, Развлечения и отдых","Контентные проекты","да","449974","806200","00:27:20","0.21006213670074164","52414"
"Яндекс.Новости","news.yandex.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Агрегаторы","да","448100","1017400","00:51:11","1.9725811223986585E-4","96766"
"Яндекс.Диск — хранение и обмен файлами","disk.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","434305","893700","01:01:51","0.27285613040396883","51782"
"«Живой Журнал» — сервис онлайн-дневников","livejournal.com","Развлечения и отдых","Сообщества","да","390154","730550","00:25:49","0.0","44964"
"«Едадил» — акции и скидки в магазинах","edadeal.ru","Торговля","Агрегаторы","да","375324","477950","01:05:29","0.9619025892551614","69886"
"FB.ru","fb.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","352244","589950","00:04:09","0.0","25959"
"Яндекс.Почта — бесплатная электронная почта","mail.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","347846","929850","12:11:34","0.0","116605"
"Яндекс.Музыка — поиск и прослушивание музыки","music.yandex.ru","Культура и искусство->Музыка, Культура и искусство, Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Сервисы","да","324223","532100","06:19:43","0.44222787521756596","64189"
"«РИА Новости» — информационное агентство","ria.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","312432","529250","00:06:44","0.0","30100"
"Яндекс.Погода — прогноз погоды","yandex.ru/pogoda","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","310145","597450","00:06:53","0.0","56775"
"«IRecommend.ru» — интернет-сервис обмена опытом","irecommend.ru","Справочные ресурсы","Сообщества","да","309247","505150","00:16:07","0.0","24564"
"«Комсомольская правда» — газета // WWW.KP.RU","kp.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","308872","483200","00:04:17","0.0014322543683758235","20867"
"Яндекс.Расписания","rasp.yandex.ru","Путешествия->Авиа и ж/д билеты, Путешествия","Сервисы","да","308148","437000","01:58:07","0.6416120485287965","60134"
"Яндекс.Переводчик — онлайн-переводчик","translate.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","281593","432550","01:28:10","0.5063914985368859","49147"
