"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Яндекс — поисковая система и интернет-портал","yandex.ru","","Портал","да","2296538","6004364","19:57:48","0.7846423779543812","1282523"
"«Avito.ru» — бесплатные объявления","avito.ru","Торговля","Агрегаторы","да","1240718","2446950","01:25:13","0.6367790450832943","273162"
"Яндекс.Карты — выбирайте, где поесть, куда сходить, чем...","yandex.ru/maps","Справочные ресурсы, Транспорт, перевозки->Расписания транспорта, Справочные ресурсы->Расписания транспорта, Транспорт, перевозки, Справочные ресурсы->Карты и схемы, Путешествия","Сервисы","да","1212333","2602950","03:13:59","0.5758964879852125","313416"
"Дзен — сервис персональных рекомендаций","zen.yandex.ru","","Сообщества","да","1021382","2172550","03:15:26","0.5452498484454836","242160"
"Яндекс.Видео — поиск и просмотр видеороликов","yandex.ru/video","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","903082","2174500","01:03:03","0.0","166492"
"Яндекс.Метро — схемы метрополитена","metro.yandex.ru","Справочные ресурсы, Транспорт, перевозки, Транспорт, перевозки->Городской и пригородный транспорт, Справочные ресурсы->Карты и схемы","Сервисы","да","894979","1124600","01:13:17","0.9998089050257978","166860"
"Яндекс.Маркет — выбор товаров и места их покупки","market.yandex.ru","Торговля","Агрегаторы","да","875077","1891800","00:29:44","0.0","111488"
"«Авто.ру» — автомобильный портал","auto.ru","Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Торговля","Агрегаторы","да","864599","1621650","02:24:03","0.619062565390249","164908"
"Рамблер — медийный портал","rambler.ru","","Портал","да","862770","1700800","00:26:21","0.0","157338"
"Яндекс.Новости","news.yandex.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Агрегаторы","да","754630","2019750","01:13:20","4.935834155972359E-4","195675"
"КиноПоиск.ru — портал о кино","kinopoisk.ru","Культура и искусство, Развлечения и отдых->Фильмы онлайн, Культура и искусство->Кино, Развлечения и отдых","Контентные проекты","да","610812","1253350","00:26:32","0.18256386219826579","68325"
"«РИА Новости» — информационное агентство","ria.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","563416","1050650","00:11:00","0.0","71347"
"«Lenta.ru» — интернет-газета","lenta.ru","Новости и СМИ","Новости","да","536455","963050","00:28:58","0.0","77797"
"Drive2.ru — сообщество автовладельцев","drive2.ru","Авто и мото, Авто и мото->Автомобили","Сообщества","да","512962","1055500","01:09:31","0.08856682769726248","73212"
"«РосБизнесКонсалтинг» — информационное агентство","rbc.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","503344","1010900","00:37:07","0.03718340219148554","77518"
